
Observation wavelength : 5.00e-07 m
Bond Albedo: 3.00e-01
The base line is: 2.00e+02 m
Flux is the thermal flux of the planet 
R flux is the reflective flux of the planet
The contrast is computed for the total flux

########################################################
HOSTS STARS

NORTHERN HEMISPHERE
Parsec			Magnitude		RA		DEC			Star
6.49e+02	Kepler-band	1.48e+01	2.88e+02	4.80e+01	Kepler-195
4.52e+02	Kepler-band	1.42e+01	2.85e+02	4.21e+01	Kepler-196
4.52e+02	Kepler-band	1.42e+01	2.85e+02	4.21e+01	Kepler-196
3.41e+02	Kepler-band	1.18e+01	2.95e+02	5.06e+01	Kepler-197
3.41e+02	Kepler-band	1.18e+01	2.95e+02	5.06e+01	Kepler-197
3.41e+02	Kepler-band	1.18e+01	2.95e+02	5.06e+01	Kepler-197
5.12e+02	Kepler-band	1.36e+01	2.91e+02	3.87e+01	Kepler-198
4.93e+02	Kepler-band	1.36e+01	2.96e+02	4.02e+01	Kepler-199
4.93e+02	Kepler-band	1.36e+01	2.96e+02	4.02e+01	Kepler-199
2.90e+02	V (Johnson)	1.25e+01	2.88e+02	4.23e+01	Kepler-20
2.90e+02	V (Johnson)	1.25e+01	2.88e+02	4.23e+01	Kepler-20
2.90e+02	V (Johnson)	1.25e+01	2.88e+02	4.23e+01	Kepler-20
6.13e+02	Kepler-band	1.30e+01	2.94e+02	4.13e+01	Kepler-201
6.13e+02	Kepler-band	1.30e+01	2.94e+02	4.13e+01	Kepler-201
3.02e+02	Kepler-band	1.39e+01	2.83e+02	4.13e+01	Kepler-202
1.50e+02	Kepler-band	1.35e+01	2.85e+02	4.19e+01	Kepler-205
6.17e+02	Kepler-band	1.35e+01	2.92e+02	4.18e+01	Kepler-206
5.84e+02	Kepler-band	1.40e+01	2.91e+02	4.26e+01	Kepler-209
1.13e+02	V (Johnson)	8.25e+00	2.87e+02	3.87e+01	Kepler-21
2.42e+02	Kepler-band	1.38e+01	2.93e+02	4.31e+01	Kepler-210
5.97e+02	Kepler-band	1.32e+01	2.88e+02	4.31e+01	Kepler-212
